feature,coef_judge,se_robust_judge,t_robust_judge,coef_fan,se_robust_fan,t_robust_fan,direction_same,diff,diff_se,diff_t,diff_p
celebrity_homecountry/region_New Zealand,0.7534353924969567,5.825784783165985,0.1293277078607609,2.8467685546690786,16.477807703640273,0.17276379272469428,True,-2.093333162172122,17.477354349497954,-0.1197740298852643,0.9046621549661191
ballroom_partner_Charlotte Jorgensen,0.5216002665003828,0.0,,-0.30921019636743446,,,False,0.8308104628678172,,,
celebrity_homestate_Maine,0.32264172242562106,0.0,,1.4593127430063304,,,True,-1.1366710205807093,,,
ballroom_partner_Val Chmerkovskiy,0.20770084036228711,0.7004472451546594,0.29652602933205424,-0.4087264042529548,1.7744601930823856,-0.2303384465012782,False,0.6164272446152419,1.9077042014103571,0.32312517011784114,0.746600448863195
celebrity_homestate_Tennessee,0.18343886453702654,0.0,,0.6724316625899138,,,True,-0.4889927980528873,,,
celebrity_industry_Musician,0.1511364345138916,,,1.4014266123214165,0.49020017481633094,2.858886398493239,True,-1.2502901778075248,,,
week,0.1320270789241144,5.50154206016973,0.023998194957004684,0.01436252120498778,61755.4569281627,2.325708839252059e-07,True,0.11766455771912661,61755.45717321768,1.9053305263223892e-06,0.9999984797661898
celebrity_homestate_Indiana,0.12602239018999659,0.0,,-1.6067112956943852,0.0,,False,1.7327336858843818,0.0,inf,0.0
celebrity_homestate_Colorado,0.10908506254316087,0.0,,-0.5224084129058566,,,False,0.6314934754490175,,,
ballroom_partner_Jenna Johnson,0.08168269346465873,0.26938430206764197,0.30321994577155553,-1.234492197116129,0.6811903333652573,-1.8122573628099163,False,1.3161748905807875,0.7325217897583258,1.7967723404037181,0.07237176915507582
celebrity_homestate_Mississippi,0.07396306947709952,2.9128923915829925,0.02539162438366107,0.8379451899930639,11.65156956633197,0.07191693661722327,True,-0.7639821205159644,12.010163006554718,-0.06361130320204732,0.9492797313183305
celebrity_industry_News Anchor,0.07239142433658448,0.3385936106632996,0.21380032598598303,0.8232583577771552,0.9633486080025967,0.8545799007112242,True,-0.7508669334405706,1.0211200584272893,-0.7353365818677996,0.46213453432410523
celebrity_homestate_Massachusetts,0.06673083506421254,,,0.8484098988033999,,,True,-0.7816790637391874,,,
celebrity_homestate_Utah,0.06166083033079009,,,2.046570199099364,,,True,-1.984909368768574,,,
celebrity_homestate_Wisconsin,0.05863667138349981,,,-0.7063661673345488,0.0,,False,0.7650028387180486,,,
celebrity_industry_Journalist,0.05329938772499801,,,0.4058434757587508,,,True,-0.3525440880337528,,,
ballroom_partner_Brandon Armstrong,0.051133468411343315,0.7348819588242559,0.0695805194253948,-0.6900582269404169,2.059725962955034,-0.3350242893236189,False,0.7411916953517602,2.1868979253445775,0.33892377269276286,0.7346671552252051
celebrity_homestate_Oregon,0.048665275315571285,0.0,,0.6498968089100584,,,True,-0.6012315335944871,,,
celebrity_homestate_Connecticut,0.034592552316099257,,,0.5797664684037706,0.0,,True,-0.5451739160876713,,,
ballroom_partner_Pasha Pashkov,0.03338850125570389,1.0294228825062075,0.0324341937828476,-0.5609794396570529,1.661103065091731,-0.33771501085399175,False,0.5943679409127568,1.9542197583395098,0.30414590701804595,0.7610167336670819
ballroom_partner_Daniella Karagach (Rumer Willis week 9),0.033327546915577384,0.4178980345922608,0.07975042751300508,0.3890329236379946,0.05574296902354454,6.979049204818568,True,-0.3557053767224172,0.4215993903122184,-0.8437046753293383,0.3988344543058713
celebrity_homestate_Georgia,0.029586661030476247,0.0,,0.7767266591595651,0.0,,True,-0.7471399981290888,0.0,-inf,0.0
ballroom_partner_Sasha Farber,0.026575992295878703,0.7692058453828775,0.03454990943633602,-0.7063889140845914,,,False,0.7329649063804701,,,
celebrity_homecountry/region_Brazil,0.023710561964603805,2.9128923915829925,0.008139868823550483,0.07156635213499962,16.477807703640273,0.004343196220161569,True,-0.04785579017039582,16.733292826072482,-0.002859914702253387,0.997718121324483
celebrity_homestate_Pennsylvania,0.01882623734468601,,,1.1511593058895107,0.0,,True,-1.1323330685448247,,,
ballroom_partner_Witney Carson,0.015173934914330903,0.7911935079762897,0.019178538197491924,-0.5362843694527851,,,False,0.5514583043671161,,,
ballroom_partner_Kym Herjavec,0.009263680345476463,0.7609136470756617,0.012174417400816215,-0.4090208864040102,,,False,0.41828456674948666,,,
celebrity_industry_Conservationist,0.006830148027349714,1.7539097442819795e+17,3.894241450916768e-20,-0.0674244513526927,,,False,0.07425459938004242,,,
ballroom_partner_Witney Carson (Xoshitl Gomez week 9),0.006830148027348604,1.7539097442819795e+17,3.8942414509161355e-20,-0.06742445135269914,,,False,0.07425459938004775,,,
celebrity_industry_Athlete,0.0015355530679193041,,,-0.2432913541399886,,,False,0.2448269072079079,,,
celebrity_homestate_South Carolina,0.0011686217385800737,,,0.42119454078903906,0.0,,True,-0.420025919050459,,,
celebrity_homestate_Louisiana,0.0002209482426372561,2.9128923915829925,7.585183828819135e-05,1.0983217532099399,0.0,,True,-1.0981008049673027,2.9128923915829925,-0.37697953008505986,0.7061888172124227
celebrity_homecountry/region_South Korea,-0.0035438874355018107,4.155500320666324,-0.00085281847239361,1.2117809901385814,19.073329334227203,0.06353274611391695,False,-1.2153248775740833,19.520760098084036,-0.06225807148223534,0.9503573177795035
age,-0.005798368510014196,0.00784490118645184,-0.7391257547039586,-0.02628901057695654,0.019345517558220667,-1.3589199925946314,True,0.020490642066942344,0.020875620331396564,0.9815584754683807,0.326317413067597
