feature,coef_std_judge,coef_std_fan
week,0.3630243268388208,0.03949147882871712
ballroom_partner_Charlotte Jorgensen,0.031916403220790854,0.022835984004488892
celebrity_homecountry/region_New Zealand,0.028734875550288804,0.10857140632562881
celebrity_homestate_Maine,0.0122310793647878,0.050311289629939394
ballroom_partner_Jenna Johnson,0.011443775422033727,-0.17295281123610143
celebrity_homestate_Tennessee,0.00988673211578242,0.03624178404602014
celebrity_homestate_Indiana,0.009288681962762342,-0.11842522752648642
celebrity_industry_Musician,0.009103889442764489,0.08441665956827396
ballroom_partner_Val Chmerkovskiy,0.008854772037552932,-0.01742496144490889
celebrity_homestate_Mississippi,0.007814137693651382,0.0885282228094395
celebrity_homestate_Colorado,0.007487841107621438,-0.0358592743857655
celebrity_homestate_Massachusetts,0.007485586413616262,0.09517107953991313
celebrity_homestate_Utah,0.0071091107501736195,0.23595683232533043
ballroom_partner_Brandon Armstrong,0.006491941314045811,-0.08761028054137396
celebrity_homestate_Georgia,0.006143648324910142,0.16128671746850504
celebrity_industry_News Anchor,0.005678234312283696,0.06457469096434318
ballroom_partner_Sasha Farber,0.004856892102257947,-0.129096016424993
celebrity_homestate_Connecticut,0.004294776634430727,0.07197987182832172
ballroom_partner_Pasha Pashkov,0.003849486812547792,-0.06467744504407441
celebrity_homestate_Oregon,0.00381720402169132,0.050976567923831845
celebrity_homestate_Pennsylvania,0.003387740294982129,0.20714860304292324
celebrity_homestate_Wisconsin,0.0033514109885234376,-0.04037274421058343
ballroom_partner_Witney Carson,0.0028965689569991626,-0.10237190718494733
ballroom_partner_Daniella Karagach (Rumer Willis week 9),0.0021051262240951406,0.024573168006064627
celebrity_homecountry/region_Brazil,0.00162754566412842,0.00491247344911383
celebrity_industry_Journalist,0.0014379003723567173,0.010948765263929308
celebrity_industry_Athlete,0.000636462256841365,-0.10084038615205529
celebrity_industry_Conservationist,0.00043142460389447926,-0.004258848724968123
ballroom_partner_Witney Carson (Xoshitl Gomez week 9),0.00043142460389442375,-0.004258848724968137
ballroom_partner_Kym Herjavec,0.0003533026249044405,-0.015599432128262262
celebrity_homestate_South Carolina,0.00010418110471864875,0.037548944292545905
celebrity_homestate_Louisiana,3.358899583924026e-05,0.1669690799893925
ballroom_partner_Henry Byalikov,-0.0001886749328755266,0.00422537184330428
celebrity_homecountry/region_South Korea,-0.00021347042832017306,0.07299312173499506
celebrity_homecountry/region_Croatia,-0.00037776529310641627,0.055381541477982785
ballroom_partner_Ezra Sosa,-0.0004687159395039865,-0.022948900181600285
celebrity_industry_Con artist,-0.00046871593950409754,-0.022948900181600562
ballroom_partner_Rylee Arnold,-0.0008494063519982262,0.007090367925604458
celebrity_homestate_Arkansas,-0.001647421387990733,0.06758645763012246
ballroom_partner_Alec Mazo,-0.0017263334316446471,-0.1531852056127838
celebrity_homestate_West Virginia,-0.0019233993171426742,-0.03841038921158331
ballroom_partner_Gleb Savchenko,-0.0022516961150881726,-0.11336967890843298
ballroom_partner_Emma Slater/Kaitlyn Bristowe (week 9),-0.0023487847979511527,0.06511977160157192
ballroom_partner_Derek Hough,-0.002567102417478845,-0.04211917122564228
celebrity_homestate_Virginia,-0.0027812017700912794,0.06058515448845498
celebrity_industry_Social media personality,-0.0028011951738639122,-0.025545321638817838
ballroom_partner_Val Chmerkovskiy (Joey Graziadei week 9),-0.002801195173863985,-0.025545321638817578
celebrity_homestate_Nevada,-0.0029725824002117505,0.04796921672851629
celebrity_homecountry/region_Spain,-0.003129067106929881,-0.07050516202186578
ballroom_partner_Damian Whitewood,-0.0031327139493583372,-0.059832493242409655
celebrity_industry_Beauty Pagent,-0.003336048319195546,-0.06549031285586121
ballroom_partner_Brian Fortuna,-0.0033360483191961082,-0.065490312855863
celebrity_homestate_Rhode Island,-0.003476919810758365,-0.06818872766022427
ballroom_partner_Jesse DeSoto,-0.003476919810758471,-0.06818872766022416
celebrity_homestate_South Dakota,-0.0035859028045687608,0.018403429771168524
ballroom_partner_Inna Brayer,-0.003926986101085873,-0.21457887175117066
celebrity_industry_Motivational Speaker,-0.0040005629513122625,0.06674751245969865
celebrity_industry_Fashion Designer,-0.0040791947606205765,-0.06769758024622981
celebrity_homecountry/region_Philippines,-0.004081926967691503,0.02026080689748451
celebrity_homecountry/region_Wales,-0.004096349781953976,0.07004358364957745
celebrity_industry_Astronaut,-0.005149141863971626,0.02994800587122444
celebrity_homestate_Washington,-0.005236516570670764,0.08415376194055052
celebrity_homestate_New Mexico,-0.005380799661298501,-0.10719250881410025
ballroom_partner_Andrea Hale,-0.005566226552750185,-0.056111691507497244
celebrity_homestate_Maryland,-0.0058820325611504305,-0.01634009044176243
ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),-0.0058858357479282045,-0.049725374726219115
ballroom_partner_Alan Bersten (Rashad Jennings week 9),-0.005971981732300416,-0.015326273126277365
celebrity_homecountry/region_Mexico,-0.006168141928462233,0.02029133073978744
ballroom_partner_Tyne Stecklein,-0.0062423237745257935,-0.1492621313772742
celebrity_homecountry/region_Ireland,-0.006276994891485232,0.06444884683659843
celebrity_industry_Military,-0.00634590044845006,0.027271412664422123
celebrity_homestate_Hawaii,-0.007038281815881614,0.04998640048816898
celebrity_industry_Fitness Instructor,-0.007082716176701809,0.04785436946594798
ballroom_partner_Ashly DelGrosso,-0.007363016066205513,-0.0654660075739674
ballroom_partner_Artem Chigvintsev,-0.008056563420061641,-0.2356198385125865
celebrity_industry_Radio Personality,-0.008408686021569984,-0.09177722368940629
celebrity_homecountry/region_Venezuela,-0.008489644411475795,-0.016186767655385403
ballroom_partner_Nick Kosovich,-0.00853628958197273,-0.052840162052041145
ballroom_partner_Keo Motsepe,-0.00870960214578104,-0.20289904509376938
ballroom_partner_Fabian Sanchez,-0.008746468836672197,-0.018987733649150226
ballroom_partner_Jan Ravnik,-0.008797978704415989,-0.12618385587585598
celebrity_homecountry/region_Taiwan China,-0.008902772349076105,-0.02340215186628411
ballroom_partner_Emma Slater,-0.009100708497891807,-0.11115858887534379
celebrity_homestate_Alaska,-0.00916033632206649,0.03371464570246141
ballroom_partner_Corky Ballas,-0.009167750389019229,0.03287184818279962
celebrity_industry_Model,-0.009548434291952504,-0.17586002328405576
ballroom_partner_Valentin Chmerkovskiy,-0.010280486456174895,-0.17588894004855218
celebrity_homestate_Kansas,-0.010428157737751236,0.0004040424367680595
celebrity_industry_Singer/Rapper,-0.01052494178466054,-0.16145404213993958
celebrity_industry_Sports Broadcaster,-0.010536947653719639,0.02679213225725835
celebrity_homecountry/region_Cuba,-0.01066282525989778,0.0034477528421378717
ballroom_partner_Daniella Karagach,-0.010676441559519877,-0.011618569187554217
celebrity_homestate_Nebraska,-0.010983882115295263,0.03382641527380331
celebrity_homestate_New Hamshire,-0.011173084222871183,-0.04124267048203063
celebrity_industry_Magician,-0.011229257733651157,-0.1464463911750344
celebrity_industry_Racing Driver,-0.011734853363178914,0.022277901937868688
celebrity_industry_Politician,-0.011770035559853915,-0.08974396939479391
