feature,coef_std_judge,coef_std_fan
ballroom_partner_Julianne Hough,-0.023944204168443062,-0.08322062345062103
celebrity_homestate_Iowa,-0.024549708990273807,0.01531005468102549
celebrity_homestate_Kentucky,-0.026106550604859752,0.04549850372500906
celebrity_homestate_Texas,-0.026753825581757575,0.11686690024118448
celebrity_homestate_Illinois,-0.028078506260170805,0.022722435029385764
ballroom_partner_Elena Grinenko,-0.028097877625135277,-0.13053683205953934
celebrity_homecountry/region_Italy,-0.029395548263766773,-0.1354938022360691
celebrity_homestate_New York,-0.03135485774619401,0.05872055019209145
ballroom_partner_Anna Demidova,-0.031666037529816726,-0.014917764868443872
ballroom_partner_Mark Ballas,-0.03205070956231298,-0.2764010790067627
celebrity_homecountry/region_Australia,-0.03317376608867703,-0.09400878606652616
celebrity_homestate_California,-0.033744491988580184,-0.06892856924159385
ballroom_partner_Karina Smirnoff,-0.03511205801970017,-0.1300195705730086
ballroom_partner_Lacey Schwimmer,-0.03521196999384734,-0.12112182728171848
ballroom_partner_Edyta Sliwinska,-0.03657135303090592,-0.2068744935092295
ballroom_partner_Chelsie Hightower,-0.03681768531099089,-0.1468063357633428
celebrity_homecountry/region_England,-0.03786754902037219,0.021429107628013075
celebrity_homecountry/region_United States,-0.04021471034760134,-0.20361955000462678
celebrity_industry_TV Personality,-0.04131803485044433,-0.12924687090436285
age,-0.07443708287070544,-0.3374875631871556
season,-0.15523131551057784,-0.030069436032218316
intercept,-2.0680099206148244,-2.7067557929868724
